http://www.addictinginfo.org/,MIXED,Left Bias,Addicting Infoprovides a blend of news geared towardliberals along with research intensive articles meant to debunk conservative myths. With that said they do have a strong left wing bias in reporting and they do not hide it. They occasionally publish satire that may be misleading to some. Has some questionable claims.(5/13/2016) Updated (4/4/2017)
http://www.advocate.com/,HIGH,Left Bias,The Advocate is an American LGBT-interest magazine; printed bi-monthlyand available by subscription. The Advocate brand also includes a website. Both magazine and website have an editorial focus on news; politics; opinion; and arts and entertainment of interest to lesbians; gay men; bisexuals and transgender (LGBT) people.The Advocate has left leaning political bias in reporting and subject matter. Does not use a lot of loaded words and is usually factual and well sourced. (8/23/2016)
http://www.allthatsfab.com/,MIXED,Left Bias,All Thats Fab is a news and opinion website with astrong left bias in reporting. ATFuses sensational headlines that do not always match the content of the articles.While All Thats Fab does usually provide sources to back their articles; the bias through wording presented within them can be misleading; therefore we give this source a mixed rating for factual reporting. (12/31/2016)
http://www.alternet.org/,MIXED,Left Bias,AlterNet is a liberal activist news service and a project of the non-profit Independent Media Institute thatLaunched in 1998. AlterNet has very strong left wing bias through report choices and strongly worded headlines. Some articles are sourced to other biased sources and may need a fact check. AlterNet is listed on the Fort Liberty hoax website list. We wouldnt go so far as to call this a hoax website; but some articles are certainly questionable. (5/13/2016)
http://aidc.org.za/amandla-media/,HIGH,Left Bias,Amandla! is a South African bi-monthly magazine that was launched in 2006.The founders are Mazibuko K. Jara; and Brian Ashley.The magazine is published by the Alternative Information and Development Centre (AIDC) and provides coverage and analysis of current political; economic and social processes from a radical left perspective. (8/16/2016)
http://americablog.com/,HIGH,Left Bias,AMERICAblog is a liberal American blog founded by John Aravosis in April 2004; with several co-bloggers. AmericaBlog uses moderately strong loaded words and somewhat sensational headlines; however most news is consistently factual and well sourced. (11/11/2016)
https://americanbridgepac.org/,MIXED,Left Bias,American Bridge 21st Century is a liberal American Super PAC that supports Democratic candidates and opposes Republican candidates.It was founded by David Brock in 2010 and is associated with Media Matters for America. It is an opposition research hub for the Democratic Party.The group physically tracks and monitors Republican candidates and officials and uses social media to deploy its findings. This source uses loaded words to describe Republicans and does not always source claims. Has a mixed rating with Politifact. (1/24/2017)
http://americannewsx.com/,MIXED,Left Bias,American News Xis a website that features news; op-eds and satire. All of which are categorized and labeled as such. News and Op-eds are presented with a left wing bias in wording and story selection. Most news is well sourced; but occasionally is linked to other left biased sources. (11/21/2016)
http://backedbyfact.com/,HIGH,Left Bias,Backed by Fact is a news and opinion blog that sources well. However; they do tend to source to left leaning information and they do use loaded words when describing conservatives. An example of this loaded language can be seen in this sensational headline:Bidens Next Move Is Going to Piss Off Trump. (1/31/2017)
http://www.ebar.com/,HIGH,Left Bias,The Bay Area Reporter is a free weekly newspaper serving the LGBT communities in the San Francisco Bay Area; it is one of the largest circulation LGBT newspapers by circulation in the United States and the countrys oldest continuously published newspaper of its kind. Well written and well sourced. Has a liberal political bias in story selection. (10/16/2016)
